Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
04/05,LaLiga,34,5/1/05,H,FC Barcelona,Albacete Balompie,2:0,CF,90+1,2:0,Left-footed shot,Ronaldinho Gaacho
05/06,UEFA Champions League,Group Stage,11/2/05,H,FC Barcelona,Panathinaikos Athens,5:0,RW,34,3:0,Left-footed shot,
05/06,LaLiga,13,11/27/05,H,FC Barcelona,Racing Santander,4:1,RW,51,2:0,Left-footed shot,Samuel Etoo
05/06,LaLiga,19,1/15/06,H,FC Barcelona,Athletic Bilbao,2:1,RW,50,2:1,Left-footed shot,Mark van Bommel
05/06,LaLiga,20,1/22/06,H,FC Barcelona,Deportivo Alaves,2:0,CF,82,2:0,Left-footed shot,Ronaldinho Gaacho
05/06,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,0:3,CF,75,0:2,Right-footed shot,Sylvinho
05/06,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,0:3,CF,83,0:3,Left-footed shot,Ronaldinho Gaacho
05/06,Copa del Rey,Quarter-Finals,2/1/06,H,FC Barcelona,Real Zaragoza,2:1,CF,42,1:0,Header,Ludovic Giuly
05/06,LaLiga,24,2/18/06,H,FC Barcelona,Real Betis Balompie,5:1,RW,84,5:1,Left-footed shot,
06/07,LaLiga,1,8/28/06,A,FC Barcelona,Celta de Vigo,2:3,LW,59,1:2,Left-footed shot,Andres Iniesta
06/07,LaLiga,2,9/9/06,H,FC Barcelona,CA Osasuna,3:0,RW,36,3:0,Left-footed shot,Samuel Etoo
06/07,UEFA Champions League,Group Stage,9/27/06,A,FC Barcelona,SV Werder Bremen,1:1,RW,89,1:1,Left-footed shot,Deco
06/07,LaLiga,6,10/15/06,H,FC Barcelona,Sevilla FC,3:1,RW,80,3:1,Right-footed shot,Xavi
06/07,LaLiga,26,3/10/07,H,FC Barcelona,Real Madrid,3:3,RW,11,1:1,Left-footed shot,Samuel Etoo
06/07,LaLiga,26,3/10/07,H,FC Barcelona,Real Madrid,3:3,RW,28,2:2,Left-footed shot,
06/07,LaLiga,26,3/10/07,H,FC Barcelona,Real Madrid,3:3,RW,90+1,3:3,Left-footed shot,Ronaldinho Gaacho
06/07,LaLiga,27,3/17/07,A,FC Barcelona,Recreativo Huelva,0:4,RW,86,0:4,Left-footed shot,
06/07,LaLiga,28,3/31/07,H,FC Barcelona,Deportivo de La Coruaa,2:1,RW,45,1:0,Left-footed shot,Ronaldinho Gaacho
06/07,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,5:2,RW,29,2:0,Solo run,Xavi
06/07,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,5:2,RW,45,3:0,Left-footed shot,Deco
06/07,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,0:6,RW,39,0:1,Left-footed shot,Samuel Etoo
06/07,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,0:6,RW,80,0:5,Left-footed shot,Giovanni van Bronckhorst
06/07,LaLiga,37,6/9/07,H,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,43,1:1,,Gianluca Zambrotta
06/07,LaLiga,37,6/9/07,H,FC Barcelona,RCD Espanyol Barcelona,2:2,RW,57,2:1,Right-footed shot,Deco
06/07,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,1:5,RW,34,0:2,Left-footed shot,Deco
06/07,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,1:5,RW,51,0:4,Left-footed shot,Deco
07/08,UEFA Champions League,Group Stage,9/19/07,H,FC Barcelona,Olympique Lyon,3:0,RW,82,2:0,Left-footed shot,Andres Iniesta
07/08,LaLiga,4,9/22/07,H,FC Barcelona,Sevilla FC,2:1,RW,72,1:0,Left-footed shot,Thierry Henry
07/08,LaLiga,4,9/22/07,H,FC Barcelona,Sevilla FC,2:1,RW,79,2:0,Penalty,
07/08,LaLiga,5,9/26/07,H,FC Barcelona,Real Zaragoza,4:1,RW,5,1:0,Left-footed shot,Thierry Henry
07/08,LaLiga,5,9/26/07,H,FC Barcelona,Real Zaragoza,4:1,RW,10,2:1,Left-footed shot,Deco
07/08,LaLiga,6,9/29/07,A,FC Barcelona,Levante UD,1:4,RW,50,0:4,Left-footed shot,Deco
07/08,UEFA Champions League,Group Stage,10/2/07,A,FC Barcelona,VfB Stuttgart,0:2,RW,66,0:2,Deflected shot on goal,Thierry Henry
07/08,LaLiga,7,10/7/07,H,FC Barcelona,Atletico de Madrid,3:0,RW,19,2:0,Left-footed shot,Ronaldinho Gaacho
07/08,LaLiga,9,10/28/07,H,FC Barcelona,UD Almera,2:0,RW,80,2:0,Penalty,
07/08,UEFA Champions League,Group Stage,11/7/07,H,FC Barcelona,Rangers FC,2:0,RW,41,2:0,Left-footed shot,Ronaldinho Gaacho
07/08,LaLiga,13,11/24/07,H,FC Barcelona,Recreativo Huelva,3:0,RW,81,3:0,Penalty,
07/08,UEFA Champions League,Group Stage,11/27/07,A,FC Barcelona,Olympique Lyon,2:2,RW,58,1:2,Penalty,
07/08,UEFA Champions League,last 16,2/20/08,A,FC Barcelona,Celtic FC,2:3,RW,18,1:1,Left-footed shot,Deco
07/08,UEFA Champions League,last 16,2/20/08,A,FC Barcelona,Celtic FC,2:3,RW,79,2:3,Left-footed shot,
07/08,LaLiga,25,2/24/08,H,FC Barcelona,Levante UD,5:1,RW,44,2:1,Left-footed shot,Xavi
07/08,LaLiga,35,5/4/08,H,FC Barcelona,Valencia CF,6:0,RW,5,1:0,Penalty,
08/09,LaLiga,2,9/13/08,H,FC Barcelona,Racing Santander,1:1,RW,70,1:0,Penalty,
08/09,LaLiga,3,9/21/08,A,FC Barcelona,Sporting GijÃ³n,1:6,RW,85,1:5,Left-footed shot,Andres Iniesta
